a 阿锕嗄啊吖錒腌呵
he 齕咊轄龁寉盇阂訶覈咼河害颌盍渮鹖噈核柇閤垎爀佫猲袔澕贺合何皬荷禾螛姀挌曷繳赫靎靏熇哬盉翯萂謞鶮褐抲郃犵沍翮湼靍鶡欱隺和頜楁熆闔貉纥鑉閡癋阖盒峆鹤輅劾篕煂鞨貈秴礉廅鬩鉌鸖蓋敆碋饸燺愒嚇啝粭叧嗃蠚涸盖喛訸賀暍嗬壑餲鶴籺吓毼詥惒紇餄麧龢魺喝呵菏蚵焃诃
hei 潶嘿黑嫼嗨黒嬒
hen 狠佷詪鞎痕噷恨拫很艮
heng 桁珩横鸻脝恆蘅揘亯悙橫恒姮狟鵆佷胻諻涥衡亨啈哼烆堼鑅鴴
hng 哼
hong 粠红謍鴻紘綋谹竤屸洪娂嚝纮轟鍧浲垬轰澋輷蕻紅黌羾銾魟谼霐顭玒鈜揈闀闂葓翝吰鬨舼渹妅紭瓨硔泓晎哅浤葒閎荭竑吽哄愩霟焢宏訇鋐潂澒訌鞃弘渱灴虹鸿軣鉷叿讧篊汯閧硡彋仜撔闳烘巆黉耾苰嗊薨玜唝宖翃
hou 鍭鲎洉餱葔鲘后後喉吽翵鯸侯鱟豞吼逅呴瘊詬怐堠郈犼帿翭腄矦猴銗睺垕糇厚候骺鄇篌鮜
hu 祜淲鹱箎鴩轷楜嫮糊恗垀鳸笏湖狐葫鍸滸訏曶戯戶枑絗蔛瓳冱軤嗀滹雽鶘摢嚛護橭嫭鹄鯱焀謼壶濩鸌鍙頶唬弖鶻扈瑚匫喖汻苸琥鈷淴許瓠蔰乎护楛怘醐浒虎壷泘鶦嘝箶錿綔鱯槴呼鰗虖乕戱咊縠惚鄠姱鳠忽淈潰昈俿昒核鹕雐鋘衚婟芐搰戏觳戽鶮芔嘑蝴螜穫洿豰匢壺沍嬳頀抇鵠和熩户餬互囫槲冴滬帍戸沪粐弧猢瓡膴歑鹘魱胡斛萀烀唿礐縎嗃怙瀫韄寣岵觷龢虝幠煳擭虍簄媩鬍
hua 埖滑摦嫿魤姡繣腂粿螖猾舙婲華鋘砉璍鮭譁釪糀硴劃崋华諣撶磆花杹檴誮譮嬅桦澅畫鷨铧黊话吪話畵蒍樺鏵咶婳划觟諙画哗獪搳釫輠驊蘳化嘩蘤芲澮錵椛浍槬擭骅蕐
huai 褢淮踝怀徊薶壊咶壞坏褱耲蘾槐瀤蘹懐懷佪
huan 鴅愌澣汍糫懁攌缳嬛鍰唤螌烉逭澴鸛洹讙歡桓換漶奂睘鯶蠸郇鹮瑍荁圂歓豲鉮锾鰀萈酄槵環欢肒狟鐶睆晥涣懽驩寏擐鯇藧絙綄嚾睔缓貆焕豢豩瘓鲩瓛羦幻獂还嵈患獾鵍繯痪煥喚還闤孉緩浣萑蒝宦阛轘堚喛峘渙换圜梙环貛奐雈瞣寰瞏镮槏犿鬟
huang 奛堭洸鎤恍幌楻謊曂遑諻潢縨怳皇偟黄趪獚锽詤熿穔煌巟熀衁葟蟥鱑磺皝鰉癀滉艎騜墴黃媓瑝鍠荒肓餭喤鳇愰皩榥朚簧晃汻蝗凰篁隍谎璜宺湟惶撗崲慌塃晄鷬兤爌徨櫎炾鐄
hui 賄圚贿璤珲暉喙絵硊檅惠阓诙嘒隓泋毁慧彙蚘毇蔧孈蜖会烜楎晦瞺繢恚蒐鏸闠僡韢幑翽湏麾煇橞滙螝洃隳誨暳諱徽诲彗茴禈睳輠琿椲虺譭廻譓壞詯篲蟪靧櫘叀薈懳槥烩廽噕溃繪桧恛灰灳洄痐鮰燬蛔撝绘顪蘬恵逥煒彚獩卉咴揮屷匯烣嚖蕙汇芔譮憓襘荟悔迴鰴拻挥墮缋瘣晖穢恢燴鐬檓翬囬薉儶廆徻瀈蛕翚回哕會濊秽辉豗詼翙輝蘳餯寭譿讳澮婎嬒噅浍潓媈銊鑴噦囘毀佪烠
hun 煇珲睧繉荤鼲湣俒倱湷阍馄諢慁婫忶棞惽棔掍诨睯閽溷梡焝怋餛圂葷顐焄魂惛浑混昏婚轋昬緄殙緡蔒渾梱觨涽緍眃
huo 萿咊鍃嫿姡俰礊蠖閄謋曤豁火劐鈥搉镬彟彠钬艧矆瀖嚯鑊漷货夥蒦騞煷檴获膕謔貨嚿穫捇豰沎禍過眓和矐楇佸伙或濩锪歊秮篧霍耯趏秳掝嚄旤魊臛攉邩吙濊獲隻藿腘耠靃咟惑活祸龢癨奯灬擭湱剨焃
huai 划
ji 樍嵴寂耭雧鲚楫繋鑇霁犱麂汲觙庴襀枅槉訿糭紀鱭笈継緝楖踑暨濟蟣吃嗘鵋唧覊諔欹覉坖銡驥霵垍瞉撽嵇鲫嵆寄骥籍脨激嘰劑洎撠筓岌櫅縘圾莋虮鶏艥痵蕺螏嶯橶簊鸡犄畟覘罽臮趌焏廭鱾穄騎蓟轚疾暩觭旡塈姞跽愱穖藉彑屐塉癠伎訐銐鯚隮膌剂急薺雞蓻鏶谻幾攲基僟磯錤迹鮆鳮既記鐖跻跂挤覬髻蹟齌讥霽檕蔇級稽擊谿饥几勣葪狤凥戢觊雦鑙賷計胔際齏岋躸績蠀憿禨魢彐即蕀踖紒韲魝徛箿丮蒺蘻诘癪咭系禝机褀戟妀曁璂鱀敧继漑彶鯽鰿艻偮跡懠玑刉偈刏齎兾茤萕魥繼嚌撃佶簎羇揤齍忣虀璾蹐碁忌击掎给惎穊绩颳飢棊稷皍剞极羁记姼稘纪鹡亼肌芰瘠賫际墼及吉襋叽璣尐樭鯯耤芶機給蘎結鷑鞊湒悸鸄瀱櫭棘躤期卽赍妎漈鶺脊济薊蟿稩箕蘮鴔蝍懻堲帺技極卙済墍穧齑哜旣躋革姬潗喞吇汥积计泲趞輯殛濈季檵鍓辑冀鰶羈矶梞譏级諅裚祭毄叝銈鬾檝漃鷄己乩淁茍芨妓譤剤鄿誋畿奇亟郆繫笄峜積皀呰荠缉踦嫉畸鞿集饑擠丌
jia 家珈伽驾宊枷浃夹袈跲浹荚挾鋏架磍岬贾猰槚蛱郏糘抸婽瘕佳茄鉀鉿加豭脥鵊榢拁鉫痂莢嘉蛺玾袷駱猳迦駕耞铗泇賈頬腵假郟椵葭颊毠貑忦钾裌嫁稼筴饸麚榎犌鎵頰價唊幏恝斚鴶镓斝跏圿傢梜扴絜埉餄戞徦胛甲戛笳檟夓叚价鴐
jialun 嗧
jian 徤艱鳽建谫瀸劒殱僣揵鰎珔瑐薦餰戋见劗浅葌餞漸煎殲艦礀榗捡蕳湕袸稴鶼揃裥幵柬贱鐗韀涀繭椾牋劔減缄鰔惤籈健礛槛蒹涧礆間韉囏洊瀽牮豣騫帴剑拣監銭閒鋄賎鎫剪繝釰僭箭見譼籛鑒儉茧闲鞯蕑鹸艰坚橺简鳒件蔪蠒堿樫篯劍軒鋑縑翦偂鵳囝劎醎挸锏戬絸葏臶弿检彅襺瀐减覸趼魐糋麉瑊諫揀楗鋻鏩銒險鹣硍鑳奸寋鍊饯鍳歼枧瞯栫檢姧箋渐譾猏虃腱澗検賤筧肩葥橌碊纖轞撿瞷詃钘擶监碱釼磵鹻謇硷鐱黚姦践攕鐧橏笕鹼鰜荐錬靬謭湔俭缣蹇键侟濺溅簡谏鑬鬋剣玪睑踺倹鑯醶鑑傔瞼俴熸菺馢趝戩舰鍵塹犍螹戔藆菅鈃襇豜鰹冿尖墹鲣睷跈梘旔毽淺熞笺譖搛鉴襉堅暕錽鹹瀳鞬兼櫼踐檻緘剱諓纎间
jiang 姜糨绛槳櫤夅蒋杢葁紅繮摾糡強薑豇勥奬酱奨礓瓨螿傋讲將僵鳉犟漿奖强畕醬畺摪耩醤滰韁弶桨疅虹殭橿壃蔣弜顜謽傹茳翞匠疆蔃降講絳膙袶匞鱂嵹江浆缰将螀彊洚塂
jiao 覐教儌峤萩撟挢燞樔腳鐎糾虠臫摎跤鵤浇藠皎绞喬鴵噭轇叫煍嫶湬勦挍捁缴撽铰姣胶焳珓驕獥櫵趭校訆芁攪骄恔脚窌蕉鉸滘悎狡燋角絞噍釥徼鄗矫觉峧灚皦饺孂勪灂醮穚艽鹪郊纐憍笅呌剿橋皭蛟釂敫较趫僬嵺鵁繳踋轿焦鱎譑鲛斠鷍較敽侥蟭嘂嬓撹筊茮餃鷦譥嚼鷮嘄虯轎蟜骹賋膲漖搅窖簥嘦交稾憿覚曒矯椒茭嘐璬蹻嬌佼覺潐嶠劋敥嶣鮫憢酵澆晈嶕礁僥敿烄敎暞湫娇膠
jie 鮚家桀睫徣鉣偈鲒唶卩蛣跲秸疥竭嚌庎蚧戒媘階蠞蠘刦誡袺飷嶻结幯截洯礍芥雃诫拮觧擮蛶煯媫忦巀节啑岊褯椄岕堦崨尐琾癤趌結蝔嵥介昅街楶踕砎捷袓桔紇玠劼媎嵑界揭繲藉妎疌毑价訐堺倢衸楬衱迼鞂檞孑颉羯傑悈接洁潔斺她湝節嫅讦桝莭蠽楷艐搩魪蓵解詰嗟袷喈狤謯滐掲皆魀吤姐誱骱屆擑菨劫刼偼稭鍻杰楐榤借紒蜐諎魝碣诘届阶婕擳裓脻頡疖嶰絜犗丯畍扢鶛痎
jin 僸凚锦嚍鹶歏溍賮堇进浸仅菫衿卺馑巾搢縉缙懍贐漌浕廑璶勁饉矝矜進金晉墐臸濅斳唫兓禁紾荩津燼馸齽觔紟嶜瑾儘堻晋琎祲慬榗尽赆巹劲釿伒噖靳濜盡琻嫤斤藎烬砛侭婜钅殣筋梣荕僅紧枃鋟惍噤錦珒瑨笒壗覲黅謹近璡襟槿埐今厪劤嬧煡寖蓳谨緊竻妗觐
jing 稉靘梷擏殑經妌幜敬脛颈麖荆剄憼晶婛宑澋濪菁婧涇竧憬暻净勁桱荊鲸井誩麠竫獷莖倞径儬肼汫獍頸聙刭曔頴坕旌旍璟仱弪劲坙婙静迳痉经靚踁竞丼徑粳頚颕儆泾胫亰茎淨靖坓葝靓俓汬鯨璄景竸鏡競竟睛蟼璥精瀞痙腈傹凈巠京鼱橸镜惊鋞弳粇秔浄鵛烴靜鶁境兢穽燝警陘猄鶄驚逕阱経靑
jiong 囧絅迥澃颎駉烱熒煛冏浻侰冋燛褧臦鎣扃冂僒宭昋蘔顈熲窘綗駫坰炅炯銄扄臩蘏埛瀅逈泂煚甽
jiu 鬏究倃齨畒紤麔臼糾廄就廏廐摎镹救乆旧鷲汣舊阄湬赳捄匓揂剹僦鬮咎匛纠乣柩柾芁糺杦揪鸠慦酒殧韮啾穋疚鯦久朻勼畝灸奺玖厩氿桕匶繆舏畂揫樛九鳩舅稵牞韭萛鹫
ju 砠欅飓且僪劇琚拠襷櫸湨懼醵倶苣眗鄒処挶涺郹狊鮈埧犋居懅鶋鉏粔姁揈泃虡瞿趉鵙跔忂巈愳车勮遽閰弆軥蘜痀捄蒟挙锯窶焗昛驧揟苴簴椐距檋炬岠踞鵴冣鶵据鄓筥擧坥趡鼰洰咀椈毩萭怐巨掬趜壉裾駶岨罝澽焣諊爠犑梮腒鮍鋦寠枸袓郥龃鞫桔踘陱艍輂举鞠钜耟齟局榘聥勪蜛伡莒剧菊邭俱窭椇葅蓻厺抅屦秬婅蝺驹處锔駒姖屨駏倨鐻淗怚毱婮榉埾拒聚具讵車鲏據蒩句侷崌狙鼳凥怇歫矩颶詎簍雛臄蹫橘趄俥籧拘鉅娵鶪跼鮔蹻蚷泦躹舉螶郰惧匊珇粷疽躆跙沮柜豦踽鋸鴡雎
juan 娟絭菤隽懁劵僝罥圈镌朘蕋眷棬捐絹雟餋闂錈勌襈踡呟焆萒韏鋑獧睠鵑雋腃甽鐫弮巂睊帣慻羂蠲鵍桊绢卷瓹蔨鄄鎸奆埍嶲脧姢锩讂鞙縳裐狷鋗悁埢倦勬淃圏捲惓涓鹃臇婘梋
jue 覐蟩勪欮掘彏屫珏镢玨嶥谻灍抉鶌砄爴龣鴃蚗熦觼绝崛蕨貜趉鐍誳噱矡虳撅屩挗氒狅鷢傕憰觖焆較趹孓繑劂芵鐝嚼匷厥崫孒啳駃穱爝絶繘蹶鱖桷玦袦弡蕝嶡郄蹷壆臄橛谲瘚脚倔橜戄騤诀镼疦刔妜潏譎蹻决撧璚髉覺燋瑴絕角憠玃跷殌钁捔鞽爑獗欔赽決斍觉攫泬躩吷鈌蟨噘逫埆訣矍爵
jun 君畯钧駿箟隽皸麏儁棞鮶袀骏鲪鈞銁竣鵔銞军懏麕龟汮畇浚燇攈碅馂雋晙葰姰呁桾焌鵕筠濬俊焞蜠珺蚐峻菌麇蔨鵘軍覠餕皹埈陖鍕皲鋆均郡悁捃莙寯箘夋
ka 咯垰咖胩裃衉佧鉲喀哢呿咔卡
kai 锎嵦噄輆开鎎凯锴炏愷慨凱暟闓開塏烗愒忾岂垲鐦嘅愾鍇欯铠恺勓喫榿奒炌蒈楷濭颽闿鎧幆剀揩欬
kan 餡轗欿墈闞看莰惂轁砍勘偘輱戡嵁輡埳歁槛侃崁薟磡塪堪矙龛顑栞監瞰阚堿坎竷凵檻衎刊龕扻冚
kang 躿闶鈧嵻頏骯伉漮扛閌康阬砊囥钪粇慷糠嫝槺邟穅匟犺抗摃炕鱇鏮亢忼
kao 鯌訄拷撟銬熇鮳考嵪焅烤铐髛鲓栲尻靠犒薧洘攷槀
ke 课克匼殻瞌揢姱礊溘可炣胢樖硞柯锞衉窼歁壳堁悈愙咳犐袔骒缂蝌課厒鉿磆剋氪艐搕尅棵濭髁科勀錒痾疴敤趷騍翗礚客峇轲殼苛砢渴钶磕緙岢頦榼娔蚵錁嵙顆牱渇醘嗑刻颗薖毼牁簻恪軻萪坷颏嵑兡窠珂碦稞鈳
kei 尅克剋
ken 珢肻肎錹齦掯貇裉褃啃硍龈懇垦頎恳肯墾豤
keng 鏗踁硁劥吭摼鉺妔牼挳銵殸坈阬誙硻鍞臤揁铿奟硜坑
keo 巪
keol 乬
keum 厼
kong 恐躻孔硿椌鵼涳崆控空悾埪箜錓倥鞚羫宆
kou 彄冦蔻劶筘竘寇剾茠鷇毆釦眍窛宼簆敂抠摳口眗鏂瞉滱芤叩怐扣瞘
ku 骷喾郀鮬酷跍泏堀扝胐枯狜齁刳袴庫嚳桍楛搰哭俈朏絝趶褲焅库矻绔捁瘔裤苦秙圐窟窋崫
kua 胯絓姱咵夸舿楇顝挎恗垮骻晇錁跨銙袔侉誇
kuai 駃圦膾凷快哙檜忦儈块墤塊鱠鄶鬠璯會獪鲙擓狯脍郐侩会澮浍廥筷蕢蒯噲糩狤旝
kuan 欵宽梡窾髋臗款顆寬歀髖寛鑧窽
kuang 鋛況邝鉱诳懭絖鄺匡狂眶礦卝誆丱軦昿纊軠旷矌岲诓懬贶劻穬况鑛儣夼筐抂洭鵟纩曠狅邼哐軭恇黋筺眖貺絋圹爌砿框壙硄誑匩矿軖
kui 溃湀尯顝潰胿頃阓饋鮭刲蘬嘳傀楏骙篑跬匮聭葵虁闚盔聵欳鑎馈嬇奎鐀戣魁樻卼煃膭聩腃瞆隗睽蔮餽蒍瞶揆巙悝頄頍夔憒藈蘷喟喹愦楑逵鍨匱騤巋晆暌犪簣虧頯櫆鄈磈窥聧愧鍷窺馗謉媿亏籄蹞殨蒉蝰蕢躨岿
kun 髡壸髨鯤堒阃熴騉壼裩閫晜惃婫瑻鶤鹍齫坤綑锟罤閸臗崐詪餛錕鰥硱昆齦尡潉涃蜫悃菎裈稇褌貇鲲堃困祵琨捆醌鵾梱睏猑焜裍稛崑髠
kuo 阔萿栝韕燭括适爥秮髺漷噋霩秳鞹鞟拡筈蛞頢廓鬠懖噲闊擴葀扩濶桰
kal 乫
la 櫴镴揧鞡擸臘鯻瓎爉楋溂蠟辣拉臈蜡菈腊揦旯翋砬蝲攋邋擖癩鑞嚹磖瘌儠鱲啦蝋垃柆剌藞辢鬎落喇搚
lai 籁勑逨俫頼瀨莱徕猍鯠錸睐筙賚唻赉鵣梾濑藾崍揦琜麳攋癩襰懶淶婡铼涞郲癞赖睞庲蠣崃瀬娕箂籟釐誺騋鶆顂倈徠賴來来棶萊
lan 儖揽谰襴藍灡糷漣瀾栏濫岚兰攬葻壏阑烂懍澜缆厱襕闌襤坔拦灆嬾欄鑭懶纜湅钄韊襽壈蘭懢覽孏煉浨籃褴孄澰斕嵐漤幱爦囒嚂欖璼爤籣爁篮繿暕蓝斓礛滥礷瓓揦燗榄譋廩灠諫惏攋爛顲連蘫览擥醂覧镧燣攔檻罱讕懒欗躝婪
lang 艆鎯阆郎榔俍廊啷脼狼塱朗樃哴欴郒崀桹躴駺稂樠筤琅閬烺螂硠羮蓈誏蓢莨勆朖鋃埌朤浪蒗锒嫏瑯悢蜋郞
lao 橯撈牢痨憥哰荖鐒耮轑老栳勞僗浶蛯劳咾嗠狫銠络嶗崂磱捞軂嘐醪酪顟憦姥涝恅粩絡橑佬唠耢铑癆嫪潦朥簩蟧鮱髝櫟硓嘮珯窂落労铹澇烙
le 阞韷艻勒仂饹叻乐了忇扐楽鰳簕氻泐玏竻樂肋餎牞砳鳓
lei 壨罍缧瓃鸓祱涙类腂攂靁颣鐳垒磊淚勒傫欙泪矋銇類誄厽纝酹洡蠝藟讄礨壘耒蔂瘣鱩蜼累錑畾鑘頛鑸櫑嘞虆縲儡雷礧蕌轠纇禷癗蘱蘲儽鼺礌蘽羸檑蕾櫐纍诔擂镭灅塁樏磥絫肋嫘頪
leng 冷稜倰堎塄睖愣棱薐輘楞碐踜
li 蠡轹鏫邌鴗纚例婯艃淚盠呖刕氂暦锂裏攊睝犛矖力莉枥犁嚦裡驪荲鱱皪盭欐栎痢豊秝蛠蜦朸擽沥鯬爄攦蓠篥沴蔾鬲梩浬靂銐厤欚离悷曆癘鑗曞励栃跞麜琍澧鋫灕屴苙蟸栵柂檪酈鲡理疠搮犡鵹悡廲剓釐黎鸝囄李離礪黧褵唳棃糎磿錑鋰立蒞逦蘺蚸蜊籬瓈沵礫穲藶赲俐梸隶鎘吏雳鲤砾狸詈扐璃鱺斄犂鉝叓縭峛蟍觻娌粚娳骊鬁苈嚟霾孋鯉峲藜貍蜧鑠鹂礼剺笠勵麳蠇粴厉濼麗俪塛荔靋筣櫔瓅讈轢蠣鱧砺癧攭喱灑莅丽茘瓑慄历歴俚壢粒鱳脷缡岦扚綟瓥糲醴巁猁隷錅傈櫪栛轣利鷅篱凓邐戾唎郦鯏禲溧蝷劙厲濿菞哩坜嫠孷厘涖梨里纅疬悧櫟瀝謧珕歷醨蛎隸砅礰漓釃竰厯棙囇儮粝罹儷蒚樆禮鳨蠫栗瑮鳢爏
lia 俩倆
lian 蘝摙鏈蠊廉漣蘞连鲢鬑醶瀲籨联楝燫羷聫鐮鄻薟劆恋脸嫾熑臉欄鍊臁涟湅籢憐蔹娈鰱浰鰊奁歛嗹煉聨縺撿亷梿怜帘螊澰琏稴槏媡薕裢練孌攣槤簾襝莲奩噒僆覝謰櫣嬚聯蓮练炼鎌褳譧璉錬堜戀瑓匲裣連濓聮蹥链敛匳镰殮濂潋殓溓磏慩纞斂翴萰
liang 凉量靚綡鍄魎俍脼両諒啢裲倆晾哴墚輛靓蹣兩輌剠粱駺椋湸涼梁閬粮亮魉緉倞莨谅糧两煷良俩唡掚辌辆悢踉蜋輬樑簗喨蜽
liao 繚辽疗鐐轑寥蹽摎缭爎漻屪僚廫爒窷嵺燎蟉炓瞭療蟧嫽髎璙镣飂嶚憀聊镽蓼钌了豂撂憭竂曢蹘遼镠窌鹩鷯撩料釕獠膋暸簝膫鄝嶛潦嘹鏐繆賿寮敹樛廖尞僇蟟尥飉
lie 猟猎劦獵蛶浖埓擸臘颲洌捩劣烈犣巤蛚棙烮列爄綟裂鬣栵奊趔擖哷燤攦鮤挘儠巁煭獦鱲鬛脟毟鴷睙姴埒聗躐忚劽茢迣峢倈冽迾挒咧
lin 檁箖甐麐蔺崊膦玪壣檩獜粼懍淋吝痳閵廪晽驎亃嶙轔菻賃悋憐轥邻啉璘隣疄林翷冧藺霖鏻焛瞵临懔斴碄凛凜鄰鱗鳞躙撛伈瀶拎辚遴燐涁潾橉臨蹸惏暽魿澟磷稟癛麟琳粦赁躪厸躏恡僯繗
ling 棂衑駖陵笭岺錂朎炩瓴霝孁櫺坽棱爧澪砱霊掕燯舲麢蓤嶺齡軨蘦酃岭輘欞鴒夌婈袊霛聆铃鸰阾靈跉琌鹷蔆淩綾狑苓皊另菱醽凌蕶秢裬令灵鲮竛彾閝詅倰鯪泠領蛉崚齢龗玲柃羚顲魿昤翎刢霗祾绫紷鈴伶呤龄领靇囹零瀮釘姈
liu 瘤鉚霤瀏磂駠飗鎏飅畒畄嵧摎旈熘栁锍遛柳硫瑬浏鰡畱绺橮鶹嚠餾蟉流榴藰琉塯騮陸鷚癅飂璢瑠磟罶桺翏疁熮刘碌驑溜镏鐂骝劉陆鹨嬼廇镠旒窌飀馏駵橊蹓鎦桞畝羀蓅澑珋沠鹠六裗留懰蒥麍鏐媹畂僇綹鋶雡鬸
lo 咯囖
long 寵瀧贚隆篭屸垄徿龓瓏谾漋梇蠪襱泷垅滝爖蠬拢曨衖嚨窿朧儱癃挵挊昽躘蘢驡巄礲茏笼豅巃咙栊槞龍鸗聋陇攏礱珑哢鑨櫳砻弄胧壟湰鏧矓竉龙眬蕯霳嶐籠篢壠隴靇硦聾
lou 瘻嘍楼樓蔞髏熡鏤搂镂謱簍嵝嶁瘺軁廔慺漏漊喽塿螻偻剅篓髅耬溇僂摟婁寠娄艛膢蔲遱露蝼瘘蒌耧窶鞻瞜甊陋屚
lu 醁胪魯盝熝鵦橹勠祿卢鑥簏蕗塷辂櫨炉麓廬粶硵蔍觮矑罏磠鴼露录戮陸綠廘簵剹擄娽鈩摝騄黸赂掳玈逯艫瓐籙賂轤蓾錴挔陆盧螰鏴彔垆轆泸鲁禄枦蘆勎璷鵱六轳鹵淕鏕鯥镥潞坴曥魲噜淥鷺攄圥撸踛睩獹栌氌樐璐攎顱芦鱸鑪颅渌趢鹿臚籚鏀椂艣庐侓嚧爐膔錄艪簶録辘滷虂路簬鸕琭虜翏卤硉碌虏髗纑輅舻箓賁绿峍膟澛嚕樚櫓鹭穋擼氇鸬菉鄜塶稑騼甪緑蠦觻鐪壚蹗舮僇漉鲈
luan 曫鵉孌攣巒栾薍羉臡挛癵銮鸞脔滦孪虊圝圞覶孿欄欒鑾乱脟娈鸾釠癴臠奱乿亂卵峦灤灓
lue 畧卛稤
lun 稐睔溣轮崙陯腀輪仑囵耣論錀碖论惀蜦婨侖倫崘磮纶淪埨綸沦掄抡圇棆伦鯩踚菕
luo 峈羅啰猡剆摞氌蓏椤捋罗鸁骡锣跞臝箩籮络覼螺躶鑼濼絡鏍镙攞鵅蘿詻驘鮥饠捰纙萝櫟雒瘰癳泺裸駱笿攭蠃皪騾烙邏曪骆鉻倮挼砢漯洛逻腡蛒覶珞儸頱囉玀硌洜脶欏樏落茖爍犖荦硦
lv 履慮稆瘻樓率屢捋謱焒闾氀濾侶郘嵂铝櫨瘺垏祣吕慺梠臚褛偻箻呂絽櫚藘褸侣榈捛綠缕穭壘瞜繂鋁寽虑閭膐鏤劉穞馿鑢簍律绿膟卛爈軁鷜漊勴氯驴縷螻哷旅溇葎僂櫖寠屡緑膢驢曥儢滤膂
lüe 圙略锊寽掠鋢剠藥攊詻鋝
la 啦
ma 嫲鎷码鰢駡尛孖鞨吗蟇痲嗎嘜麻馬摩罵蚂媽犘驀擵礣鬕瑪溤碼嬤犸蔴嬷祃玛马鷌妈唛抹遤骂睰螞獁榪傌杩閁禡
mai 迈衇霾卖麦鷶賣霢勱貍買邁麥蕒埋买売劢脈脉霡佅嘪
man 瞞慢颟馒蟃摱蘰獌埋姏鏝镘満熳瞒鄤螨顢蹣鬘曼谩樠蛮襔娨謾饅缦滿絻僈墁蠻鞔满蟎幔鬗蔓屘嫚慲悗縵澫鰻鳗鏋睌澷蔄漫矕
mang 芒尨恾汒惘吂鋩娏哤牻莽鹲庬朚杧痝鸏硭邙矒牤甿厖狵笀蘉盲蟒氓茻莾茫铓忙壾龒蠎盳浝杗硥漭駹釯
mao 眊鉚泖猫牦贸冃枆髳铆蓩軞鶜堥渵嵍暓瞀毷蝐氂獏芼貿愗夘貇锚犛皃矛鄮瑁毣毛霿懋酕楙峁蟊茅蛑髦緢罞貓卯昴鄚袤冒茂冐秏媢冇茆邜旄覒萺鉾貌錨戼娒耄帽笷蝥
me 濹嚜麼嚒么庅嚰沒孭麽
mei 眊槑徾攟寐氼每渼跊脄镁鎇睸黣痗枚眉攗玫糜禖酶眛挴楳鹛櫗鋂霉鎂苺湄没篃镅浼妹栂呅腜猸羙湈蝞嵋魅薶楣燘膴嵄梅堳矀媚韎鬽媄毎溦睂葿郿袂嬍媒脢嚜抺美蘪躾鶥昧凂媺穈沒塺煤瑂黴坆沬莓煝祙
men 菛瞞虋闷玣怋滿懣焖亹扪玧惛捫悶门椚們懑穈鍆燜惽钔悗殙们門暪樠閅璊
meng 幪蜢蕄懞掹勐孟霥鼆饛艨艋礞獴鹲庬錳懜鯭髳鄳鸏矒溕莔萠顭夣盟冡蝱甿霧濛鱦氓萌梦懵氋靀虻蠎曚鯍黽甍矇朦橗嫇猛瓾蒙锰黾霿鋂瞢儚鄸蠓檬夢
mi 麛米羋摵麋谧覓祢谜樒尛覛羃嘧謐擟渳芈泌藌銤幦麊孊灖詸擵漞糜峚覔謎咪瞇縻鑖鸍榓眽沕宓粎袮櫁密糸蜜熐醿弭攠簚幂濔眯汨弥塓獼蓂靡敉洣淧秘脒醚沵淿鼏猕爢瀰彌瓕宻镾滵獮醾蘪侎狝冞瞴迷濗冪祕檷觅蒾眫蘼蝆籋蔝冖戂蔤釄哋罙禰幎葞
mian 芇臱蠠媔綿婂湣嬵渑勉冕腼愐沔喕緬眄湎惽棉麺俛鮸免偭靦檰绵謾麫勔娩怋絻麵眠缅矏面櫋汅靣麪緜厸嫚丏緡宀葂矈黾糆澠蝒緍矊
miao 瞄紗邈鹋喵苗緲竗緢廟鱙杪庿篎訬描缈眇渺鶓庙彯媌繆鞪藐玅淼缪嫹妙仯秒
mie 懱搣哶滅乜蠛鑖鱴櫗孭瀎吀薎咩眜篾蔑幭衊灭鴓
min 冺敏笽悯珉慜呡崏暋湣瑉闽賯旻鰵盿憫痻闵碈垊勄錉岷鴖閩砇潣冧皿玟盷鈱敃笢刡旼民怋罠閔忞捪忟緍鳘缗鍲惛姄琘泯抿緡縄黾敯湏簢苠愍僶琝
ming 榠覭鸣鳴擝慏茗冥溟眳洺螟姳命佲詺酩铭蓂暝朙鄍凕掵嫇瞑眀名明猽銘
miu 繆謬谬缪嘐樛
mo 歾圽魹皌貊尛謩嫼嗼眿妺摸饝懡摩眜脉驀秣塻墨谟擵粖砞劘蛨礳殁獏眽莫沫帞昩嚤暯譕麿没漠末貘銆縸帓撫絔瞙莈麽衇嘿瘼攠謨糢貉黙纆鏌蘑貈魩嫫鄚蟔冒韎麼艒摹馍嚩默爅模貃磨髍嬤幕瞐魔抹枺藦蓦袹瀎镆沒橅陌劰磑饃絈戂耱膜茉靺寞怽歿
mol 乮
mou 鍪侔谋劺哞洠麰眸瞴桙鉾鴾繆鞪牟呣某恈缪蟱堥謀
mu 謨鉧鉬沐雮峔仫暮楘畞凩莯蚞毪牧狇畒钼穆墓樢牟霂媽畆艒砪睦坶氁炑模堥畝姥幕慔茻墲幙踇苜萺嘸募木朷沕畮拇繆牡鞪姆胟娒目亩縸母慕牳
ma 嘛吗蟆么
mai 荬
na 笝貀拿呐誽拏妠袦秅魶靹蹃娜蒳蒘衲纳捺納那哪鈉抐肭鎿雫軜淰嗱篛乸訤镎吶内詉內郍豽挐钠
